2025-10-27T00:19:52.844576507Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844584481Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844588725Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: QUSDT 5m
2025-10-27T00:19:52.844590655Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: MLNUSDT 5m
2025-10-27T00:19:52.844596780Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844598565Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844605594Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: MOODENGUSDT 5m
2025-10-27T00:19:52.844611195Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844615851Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: LYNUSDT 5m
2025-10-27T00:19:52.844619890Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844625228Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: LAUSDT 5m
2025-10-27T00:19:52.844629597Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844634786Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: WUSDT 5m
2025-10-27T00:19:52.844641723Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.844646494Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: KAVAUSDT 5m
