2025-10-27T13:52:31.913392476Z [inf]  2025-10-27 13:52:22,882 - src.strategies.ict_strategy - DEBUG - ✅ XPLUSDT SHORT | 信心度: 46.7% | 趨勢: bearish/bearish/bearish
2025-10-27T13:52:31.913392582Z [inf]  2025-10-27 13:52:23,099 - src.strategies.ict_strategy - DEBUG - ✅ MEUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.913392674Z [inf]  2025-10-27 13:52:23,150 - src.strategies.ict_strategy - DEBUG - 1000CHEEMSUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T13:52:31.913393106Z [inf]  2025-10-27 13:52:22,911 - src.strategies.ict_strategy - DEBUG - 4USDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913394468Z [inf]  2025-10-27 13:52:22,689 - src.strategies.ict_strategy - DEBUG - SUIUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T13:52:31.913395356Z [inf]  2025-10-27 13:52:22,823 - src.strategies.ict_strategy - DEBUG - TAOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-27T13:52:31.913398328Z [inf]  2025-10-27 13:52:22,608 - src.strategies.ict_strategy - DEBUG - PAXGUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913405339Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: FETUSDT 5m
2025-10-27T13:52:31.913408146Z [inf]  2025-10-27 13:52:22,913 - src.strategies.ict_strategy - DEBUG - DEGOUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-27T13:52:31.913409371Z [inf]  2025-10-27 13:52:22,689 - src.strategies.ict_strategy - DEBUG - EVAAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913409827Z [inf]  2025-10-27 13:52:23,152 - src.strategies.ict_strategy - DEBUG - NEARUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913409923Z [inf]  2025-10-27 13:52:22,610 - src.strategies.ict_strategy - DEBUG - BCHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.913410984Z [inf]  2025-10-27 13:52:23,132 - src.strategies.ict_strategy - DEBUG - ✅ APRUSDT SHORT | 信心度: 60.0% | 趨勢: bearish/bearish/bearish
2025-10-27T13:52:31.913417513Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913420798Z [inf]  2025-10-27 13:52:23,056 - src.strategies.ict_strategy - DEBUG - WLDUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913422363Z [inf]  2025-10-27 13:52:23,148 - src.strategies.ict_strategy - DEBUG - APTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913424682Z [inf]  2025-10-27 13:52:22,922 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913426798Z [inf]  2025-10-27 13:52:23,144 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913426879Z [inf]  2025-10-27 13:52:22,701 - src.strategies.ict_strategy - DEBUG - ENAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913431803Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: LDOUSDT 5m
2025-10-27T13:52:31.913435002Z [inf]  2025-10-27 13:52:23,089 - src.strategies.ict_strategy - DEBUG - FARTCOINUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T13:52:31.913439675Z [inf]  2025-10-27 13:52:23,146 - src.strategies.ict_strategy - DEBUG - UBUSDT: 拒絕 - 信心度不足 (33.3% < 35.0%)
2025-10-27T13:52:31.913440352Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913441539Z [inf]  2025-10-27 13:52:22,949 - src.strategies.ict_strategy - DEBUG - ✅ PAXGUSDT SHORT | 信心度: 70.0% | 趨勢: bearish/bearish/bearish
2025-10-27T13:52:31.913450501Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: USELESSUSDT 5m
2025-10-27T13:52:31.913450700Z [inf]  2025-10-27 13:52:22,986 - src.strategies.ict_strategy - DEBUG - ✅ BCHUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.913460807Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913462157Z [inf]  2025-10-27 13:52:22,993 - src.strategies.ict_strategy - DEBUG - LTCUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913468539Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: JUPUSDT 5m
2025-10-27T13:52:31.913473496Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913478488Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: MERLUSDT 5m
2025-10-27T13:52:31.913483682Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913489283Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: INJUSDT 5m
2025-10-27T13:52:31.913495284Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
