2025-10-26T09:47:43.361302737Z [inf]  2025-10-26 09:47:34,261 - src.strategies.ict_strategy - DEBUG - FUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.361305890Z [inf]  2025-10-26 09:47:34,212 - src.strategies.ict_strategy - DEBUG - APRUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.361309251Z [inf]  2025-10-26 09:47:34,266 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ENAUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.361315352Z [inf]  2025-10-26 09:47:34,278 - src.strategies.ict_strategy - DEBUG - YBUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.362263363Z [inf]  2025-10-26 09:47:34,394 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ADAUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.362264870Z [inf]  2025-10-26 09:47:34,280 - src.strategies.ict_strategy - DEBUG - BIOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.362273449Z [inf]  2025-10-26 09:47:34,395 - src.strategies.ict_strategy - DEBUG - PENGUUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.362273461Z [inf]  2025-10-26 09:47:34,300 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LINKUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.362281006Z [inf]  2025-10-26 09:47:34,301 - src.strategies.ict_strategy - DEBUG - WLDUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.362282320Z [inf]  2025-10-26 09:47:34,397 - src.strategies.ict_strategy - DEBUG - TRXUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T09:47:43.362288277Z [inf]  2025-10-26 09:47:34,376 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: XPLUSDT LONG 信心度 60.00%
2025-10-26T09:47:43.362291009Z [inf]  2025-10-26 09:47:34,398 - src.strategies.ict_strategy - DEBUG - LTCUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.362296200Z [inf]  2025-10-26 09:47:34,378 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: TAOUSDT LONG 信心度 60.00%
2025-10-26T09:47:43.362297931Z [inf]  2025-10-26 09:47:34,407 - src.strategies.ict_strategy - DEBUG - ZKCUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.362303601Z [inf]  2025-10-26 09:47:34,392 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BCHUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.362305345Z [inf]  2025-10-26 09:47:34,410 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.362310908Z [inf]  2025-10-26 09:47:34,412 - src.strategies.ict_strategy - DEBUG - DEGOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363523968Z [inf]  2025-10-26 09:47:34,453 - src.strategies.ict_strategy - DEBUG - RIVERUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
2025-10-26T09:47:43.363531556Z [inf]  2025-10-26 09:47:34,460 - src.strategies.ict_strategy - DEBUG - XPINUSDT: 拒絕 - 信心度不足 (42.7% < 45.0%)
