2025-10-25T17:52:45.267350973Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.267357594Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.267364320Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.267370189Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.267377238Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.267383372Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.267389620Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.268562006Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.268562026Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.268571402Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.268574230Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.268577600Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.268582663Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.268586000Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.268590432Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.268592239Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.268599185Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.268599596Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.268606153Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.268612719Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.268612982Z [inf]  2025-10-25 17:52:44,939 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.268619233Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269802524Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.269809821Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269814335Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.269818452Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.269822017Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269825970Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.269831001Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.269834880Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269838923Z [inf]  2025-10-25 17:52:44,940 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.269843390Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.269847967Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269852677Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.269856952Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.269861961Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.269867121Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.270818045Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.270823008Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.270828258Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.270833271Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.270839739Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.270844868Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.270850991Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.270855632Z [inf]  2025-10-25 17:52:44,941 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.270860613Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.270866251Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.270871443Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.270875605Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.270879543Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.270883085Z [inf]  2025-10-25 17:52:44,942 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
