2025-10-26T06:34:24.449110621Z [inf]  2025-10-26 06:34:15,690 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: WLDUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.449116381Z [inf]  2025-10-26 06:34:15,754 - src.strategies.ict_strategy - DEBUG - MERLUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bullish, structure:bearish)
2025-10-26T06:34:24.449121737Z [inf]  2025-10-26 06:34:15,758 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: FARTCOINUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.449128162Z [inf]  2025-10-26 06:34:15,762 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.449133875Z [inf]  2025-10-26 06:34:15,789 - src.strategies.ict_strategy - DEBUG - RIVERUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bearish, structure:neutral)
2025-10-26T06:34:24.449139542Z [inf]  2025-10-26 06:34:15,803 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LTCUSDT LONG 信心度 70.00%
2025-10-26T06:34:24.449145102Z [inf]  2025-10-26 06:34:15,854 - src.strategies.ict_strategy - DEBUG - WIFUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.449150863Z [inf]  2025-10-26 06:34:15,884 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: DEGOUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.449156242Z [inf]  2025-10-26 06:34:15,898 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BASUSDT LONG 信心度 60.00%
2025-10-26T06:34:24.452469445Z [inf]  2025-10-26 06:34:16,064 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.452482339Z [inf]  2025-10-26 06:34:15,909 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.452487285Z [inf]  2025-10-26 06:34:15,913 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: RECALLUSDT LONG 信心度 52.67%
2025-10-26T06:34:24.452491847Z [inf]  2025-10-26 06:34:15,954 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: NEARUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.452496171Z [inf]  2025-10-26 06:34:15,968 - src.strategies.ict_strategy - DEBUG - XANUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-26T06:34:24.452500216Z [inf]  2025-10-26 06:34:15,973 - src.strategies.ict_strategy - DEBUG - UNIUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.452504204Z [inf]  2025-10-26 06:34:16,002 - src.strategies.ict_strategy - DEBUG - UBUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.452508165Z [inf]  2025-10-26 06:34:16,028 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: JUPUSDT LONG 信心度 66.00%
2025-10-26T06:34:24.452512415Z [inf]  2025-10-26 06:34:16,051 - src.strategies.ict_strategy - DEBUG - XLMUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:neutral)
2025-10-26T06:34:24.452516280Z [inf]  2025-10-26 06:34:16,057 - src.strategies.ict_strategy - DEBUG - EIGENUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T06:34:24.452520620Z [inf]  2025-10-26 06:34:16,064 - src.services.parallel_analyzer - INFO - 批次 1 完成: 生成 30 個信號, 累計 30 個
2025-10-26T06:34:24.452524752Z [inf]  2025-10-26 06:34:16,064 - src.services.parallel_analyzer - INFO - 處理批次 2/4 (64 個交易對)
2025-10-26T06:34:24.453955493Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.453958131Z [inf]  2025-10-26 06:34:16,064 - src.services.data_service - DEBUG - 緩存命中: AI16ZUSDT 5m
2025-10-26T06:34:24.453963973Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: OPENUSDT 5m
2025-10-26T06:34:24.453969119Z [inf]  2025-10-26 06:34:16,064 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.453970403Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.453976635Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: FILUSDT 5m
2025-10-26T06:34:24.453977897Z [inf]  2025-10-26 06:34:16,064 - src.services.data_service - DEBUG - 緩存命中: SNXUSDT 5m
2025-10-26T06:34:24.453982530Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.454010062Z [inf]  2025-10-26 06:34:16,064 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.454017484Z [inf]  2025-10-26 06:34:16,064 - src.services.data_service - DEBUG - 緩存命中: DOODUSDT 5m
2025-10-26T06:34:24.454041462Z [inf]  2025-10-26 06:34:16,064 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.454049048Z [inf]  2025-10-26 06:34:16,064 - src.services.data_service - DEBUG - 緩存命中: DOTUSDT 5m
2025-10-26T06:34:24.454055868Z [inf]  2025-10-26 06:34:16,064 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.454062278Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: FFUSDT 5m
2025-10-26T06:34:24.454068270Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.454074771Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: METUSDT 5m
2025-10-26T06:34:24.455656324Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: CLOUSDT 5m
2025-10-26T06:34:24.455662719Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455665572Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455671854Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: TIAUSDT 5m
2025-10-26T06:34:24.455678431Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455681874Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: RVVUSDT 5m
2025-10-26T06:34:24.455686834Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: LIGHTUSDT 5m
2025-10-26T06:34:24.455694326Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455694866Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455701616Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: ARBUSDT 5m
2025-10-26T06:34:24.455705073Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: APTUSDT 5m
2025-10-26T06:34:24.455709172Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455713341Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455720555Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: TRUMPUSDT 5m
2025-10-26T06:34:24.455728194Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.455733504Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: ORDERUSDT 5m
