2025-11-06T10:38:25.186166664Z [inf]  2025-11-06 10:38:20,499 - src.strategies.self_learning_trader - INFO - 🎓 IDUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186172158Z [inf]  2025-11-06 10:38:20,548 - src.strategies.self_learning_trader - INFO - 🎓 JOEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186842683Z [inf]  2025-11-06 10:38:20,567 - src.strategies.self_learning_trader - INFO - 🎓 TLMUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186850525Z [inf]  2025-11-06 10:38:20,586 - src.strategies.self_learning_trader - INFO - 🎓 RDNTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186855921Z [inf]  2025-11-06 10:38:20,620 - src.strategies.self_learning_trader - INFO - 🎓 XVSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186861081Z [inf]  2025-11-06 10:38:20,641 - src.strategies.self_learning_trader - INFO - 🎓 BLURUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186865834Z [inf]  2025-11-06 10:38:20,661 - src.strategies.self_learning_trader - INFO - ❌ EDUUSDT 拒絕開倉: 信心度不足: 13.4% < 25.0% | 勝率=49.0% 信心=13.4% R:R=1.50
2025-11-06T10:38:25.186869981Z [inf]  2025-11-06 10:38:20,682 - src.strategies.self_learning_trader - INFO - 🎓 SUIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186874110Z [inf]  2025-11-06 10:38:20,723 - src.strategies.self_learning_trader - INFO - 🎓 1000FLOKIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186879176Z [inf]  2025-11-06 10:38:20,747 - src.strategies.self_learning_trader - INFO - 🎓 UMAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186883953Z [inf]  2025-11-06 10:38:20,770 - src.strategies.self_learning_trader - INFO - 🎓 NMRUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.186889092Z [inf]  2025-11-06 10:38:20,792 - src.strategies.self_learning_trader - INFO - 🎓 MAVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187630829Z [inf]  2025-11-06 10:38:20,986 - src.strategies.self_learning_trader - INFO - 🎓 BNTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187634872Z [inf]  2025-11-06 10:38:20,814 - src.strategies.self_learning_trader - INFO - 🎓 XVGUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187637651Z [inf]  2025-11-06 10:38:21,009 - src.strategies.self_learning_trader - INFO - 🎓 OXTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187641127Z [inf]  2025-11-06 10:38:20,814 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline進度快照（已掃描150個）
2025-11-06T10:38:25.187646258Z [inf]  2025-11-06 10:38:21,030 - src.strategies.self_learning_trader - INFO - 🎓 SEIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187649073Z [inf]  2025-11-06 10:38:20,814 - src.strategies.rule_based_signal_generator - INFO -    Stage1驗證: 有效=149, 拒絕=0
2025-11-06T10:38:25.187654212Z [inf]  2025-11-06 10:38:21,052 - src.strategies.self_learning_trader - INFO - 🎓 CYBERUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187655836Z [inf]  2025-11-06 10:38:20,814 - src.strategies.rule_based_signal_generator - INFO -    Stage3方向: 有=106, 無=43
2025-11-06T10:38:25.187660401Z [inf]  2025-11-06 10:38:20,905 - src.strategies.self_learning_trader - INFO - 🎓 AGLDUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187664464Z [inf]  2025-11-06 10:38:20,933 - src.strategies.self_learning_trader - INFO - 🎓 YGGUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.187668334Z [inf]  2025-11-06 10:38:20,960 - src.strategies.self_learning_trader - INFO - 🎓 DODOXUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188490859Z [inf]  2025-11-06 10:38:21,074 - src.strategies.self_learning_trader - INFO - 🎓 ARKUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188496080Z [inf]  2025-11-06 10:38:21,094 - src.strategies.self_learning_trader - INFO - 🎓 BICOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188500578Z [inf]  2025-11-06 10:38:21,116 - src.strategies.self_learning_trader - INFO - 🎓 BIGTIMEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188504717Z [inf]  2025-11-06 10:38:21,140 - src.strategies.self_learning_trader - INFO - 🎓 WAXPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188508765Z [inf]  2025-11-06 10:38:21,161 - src.strategies.self_learning_trader - INFO - 🎓 BSVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188512781Z [inf]  2025-11-06 10:38:21,181 - src.strategies.self_learning_trader - INFO - 🎓 RIFUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188516802Z [inf]  2025-11-06 10:38:21,201 - src.strategies.self_learning_trader - INFO - 🎓 POLYXUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188522774Z [inf]  2025-11-06 10:38:21,223 - src.strategies.self_learning_trader - INFO - 🎓 GASUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.188527009Z [inf]  2025-11-06 10:38:21,245 - src.strategies.self_learning_trader - INFO - 🎓 POWRUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
