2025-10-27T09:33:35.288135086Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: STRKUSDT 5m
2025-10-27T09:33:35.288142248Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288149480Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: SANDUSDT 5m
2025-10-27T09:33:35.288156512Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288162872Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: XANUSDT 5m
2025-10-27T09:33:35.288170214Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288176913Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: NOMUSDT 5m
2025-10-27T09:33:35.288184354Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289811951Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: JTOUSDT 5m
2025-10-27T09:33:35.289818869Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289825241Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: EULUSDT 5m
2025-10-27T09:33:35.289830091Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289834981Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: SUSDT 5m
2025-10-27T09:33:35.289840030Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289844731Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: TAUSDT 5m
2025-10-27T09:33:35.289848701Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289853730Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: POPCATUSDT 5m
2025-10-27T09:33:35.289859119Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289863858Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: WUSDT 5m
2025-10-27T09:33:35.289868094Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289872592Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: MOODENGUSDT 5m
2025-10-27T09:33:35.289876968Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.289881571Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: VVVUSDT 5m
2025-10-27T09:33:35.291655060Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291661128Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: ORDIUSDT 5m
2025-10-27T09:33:35.291665909Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291670897Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: MLNUSDT 5m
2025-10-27T09:33:35.291676522Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291676908Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: POLUSDT 5m
2025-10-27T09:33:35.291682289Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: TRUTHUSDT 5m
2025-10-27T09:33:35.291687724Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291688438Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291694014Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: KASUSDT 5m
2025-10-27T09:33:35.291695313Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: INUSDT 5m
2025-10-27T09:33:35.291700074Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291702003Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.291705611Z [inf]  2025-10-27 09:33:35,093 - src.services.data_service - DEBUG - ✅ 緩存命中: DOODUSDT 5m
2025-10-27T09:33:35.291710173Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293410811Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: LAUSDT 5m
2025-10-27T09:33:35.293424583Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293432454Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: ARUSDT 5m
2025-10-27T09:33:35.293438896Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293444931Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: PYTHUSDT 5m
2025-10-27T09:33:35.293451998Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293458991Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: JELLYJELLYUSDT 5m
2025-10-27T09:33:35.293465466Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293473369Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: LYNUSDT 5m
2025-10-27T09:33:35.293480162Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293486360Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: VETUSDT 5m
2025-10-27T09:33:35.293491887Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293497401Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: BSVUSDT 5m
2025-10-27T09:33:35.293502947Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.293509411Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: 1000RATSUSDT 5m
2025-10-27T09:33:35.295752998Z [inf]  2025-10-27 09:33:35,095 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.295761604Z [inf]  2025-10-27 09:33:35,095 - src.services.data_service - DEBUG - ✅ 緩存命中: MANAUSDT 5m
2025-10-27T09:33:35.295768234Z [inf]  2025-10-27 09:33:35,095 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.295771617Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.295781569Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: AUCTIONUSDT 5m
2025-10-27T09:33:35.295789479Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.295796072Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: CFXUSDT 5m
2025-10-27T09:33:35.295802226Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.295808904Z [inf]  2025-10-27 09:33:35,094 - src.services.data_service - DEBUG - ✅ 緩存命中: FLOWUSDT 5m
2025-10-27T09:33:35.295814807Z [inf]  2025-10-27 09:33:35,094 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
