2025-10-26T08:31:17.308589975Z [inf]  2025-10-26 08:31:11,681 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:31:17.309940836Z [inf]  2025-10-26 08:31:11,685 - src.strategies.ict_strategy - DEBUG - POLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.311748053Z [inf]  2025-10-26 08:31:11,867 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LISTAUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.315228675Z [inf]  2025-10-26 08:31:12,130 - src.integrations.discord_bot - WARNING - 未找到頻道 ID: 1430538906629050500
2025-10-26T08:31:17.316796834Z [inf]  2025-10-26 08:31:12,284 - src.clients.binance_client - ERROR - Binance API 錯誤 400: code=-4061, msg=Order's position side does not match user's setting., endpoint=/fapi/v1/order, params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1761467472207, 'signature': '784d631580b5c5218a698c4a8a2a4707bf81168d5c074bc3b49fcce842077dbd'}
2025-10-26T08:31:17.318744926Z [inf]  2025-10-26 08:31:12,285 - src.services.trading_service - DEBUG - XRPUSDT 數量調整: 1.32109053 -> 1.3 (stepSize=0.1, precision=1)
2025-10-26T08:31:17.320213623Z [inf]  2025-10-26 08:31:12,441 - __main__ - INFO -   #4 BNBUSDT LONG 信心度 70.00%
2025-10-26T08:31:17.321757102Z [inf]  2025-10-26 08:31:12,444 - src.integrations.discord_bot - WARNING - 未找到頻道 ID: 1430538906629050500
2025-10-26T08:31:17.323501030Z [inf]  2025-10-26 08:31:13,635 - src.ml.data_archiver - INFO - 所有缓冲区已刷新
2025-10-26T08:31:18.227839956Z [inf]  2025-10-26 08:31:17,988 - discord.gateway - DEBUG - Keeping shard ID None websocket alive with sequence 1.
2025-10-26T08:31:18.241120786Z [inf]  2025-10-26 08:31:18,239 - discord.gateway - DEBUG - For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
2025-10-26T08:31:29.180774335Z [err]  Railway rate limit of 500 logs/sec reached for replica, update your application to reduce the logging rate. Messages dropped: 378
2025-10-26T08:32:08.515642955Z [inf]  2025-10-26 08:31:59,240 - discord.gateway - DEBUG - Keeping shard ID None websocket alive with sequence 1.
2025-10-26T08:32:08.515651022Z [inf]  2025-10-26 08:31:59,474 - discord.gateway - DEBUG - For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
2025-10-26T08:32:13.656116267Z [inf]  2025-10-26 08:32:13,651 - __main__ - INFO - 
2025-10-26T08:32:13.656135722Z [inf]  🔢 週期 #3
2025-10-26T08:32:13.656145110Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO - 
2025-10-26T08:32:13.656154063Z [inf]  ============================================================
2025-10-26T08:32:13.656162211Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO - 🔄 交易週期開始: 2025-10-26 08:32:13
2025-10-26T08:32:13.656172332Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO - ============================================================
2025-10-26T08:32:13.656181570Z [inf]  2025-10-26 08:32:13,652 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.656189467Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO - ⏰ 時間框架調度狀態:
2025-10-26T08:32:13.656216155Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO -   1h: 間隔=3600秒, 上次掃描=136秒前, 下次掃描=3463秒, 需掃描=否
2025-10-26T08:32:13.656224243Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO -   15m: 間隔=900秒, 上次掃描=136秒前, 下次掃描=763秒, 需掃描=否
2025-10-26T08:32:13.656232364Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO -   5m: 間隔=60秒, 上次掃描=從未掃描, 下次掃描=立即, 需掃描=是
2025-10-26T08:32:13.656239957Z [inf]  2025-10-26 08:32:13,652 - __main__ - INFO - 🔍 開始掃描市場，目標選擇前 200 個高流動性交易對...
2025-10-26T08:32:13.656247491Z [inf]  2025-10-26 08:32:13,652 - src.services.data_service - INFO - 開始掃描 525 個交易對（流動性排序）...
2025-10-26T08:32:13.759479220Z [inf]  2025-10-26 08:32:13,756 - src.services.data_service - INFO - ✅ 市場掃描完成: 從 525 個交易對中選擇 流動性最高的前 200 個 (平均24h交易額: $140,568,333 USDT)
2025-10-26T08:32:13.759490929Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO - 📊 ✅ 已選擇 200 個高流動性交易對 (平均24h交易額: $140,568,333 USDT)
2025-10-26T08:32:13.759497242Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO - 📈 流動性最高的前10個交易對:
2025-10-26T08:32:13.759503132Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #1 ETHUSDT: 3952.7300 USDT (24h交易額: $4,753,197,757)
2025-10-26T08:32:13.759508903Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #2 BTCUSDT: 111743.8000 USDT (24h交易額: $4,470,065,434)
2025-10-26T08:32:13.759515562Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #3 SOLUSDT: 194.0400 USDT (24h交易額: $1,672,306,551)
2025-10-26T08:32:13.759521148Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #4 GIGGLEUSDT: 227.8900 USDT (24h交易額: $1,432,909,204)
2025-10-26T08:32:13.759527076Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #5 XRPUSDT: 2.6264 USDT (24h交易額: $1,278,037,330)
2025-10-26T08:32:13.759533450Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #6 VIRTUALUSDT: 1.2043 USDT (24h交易額: $781,125,104)
