2025-10-27T10:04:12.936709207Z [inf]  2025-10-27 10:04:12,557 - src.strategies.ict_strategy - DEBUG - ALGOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936716789Z [inf]  2025-10-27 10:04:12,560 - src.strategies.ict_strategy - DEBUG - XVGUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.936723386Z [inf]  2025-10-27 10:04:12,568 - src.strategies.ict_strategy - DEBUG - ✅ LABUSDT SHORT | 信心度: 46.7% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:12.936729021Z [inf]  2025-10-27 10:04:12,592 - src.strategies.ict_strategy - DEBUG - TURBOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T10:04:12.936734986Z [inf]  2025-10-27 10:04:12,595 - src.strategies.ict_strategy - DEBUG - PNUTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.936740445Z [inf]  2025-10-27 10:04:12,597 - src.strategies.ict_strategy - DEBUG - RENDERUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936745978Z [inf]  2025-10-27 10:04:12,598 - src.strategies.ict_strategy - DEBUG - BERAUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936751370Z [inf]  2025-10-27 10:04:12,601 - src.strategies.ict_strategy - DEBUG - ZEREBROUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936757535Z [inf]  2025-10-27 10:04:12,603 - src.strategies.ict_strategy - DEBUG - RUNEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936763540Z [inf]  2025-10-27 10:04:12,605 - src.strategies.ict_strategy - DEBUG - ORDERUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.938275528Z [inf]  2025-10-27 10:04:12,606 - src.strategies.ict_strategy - DEBUG - BATUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T10:04:12.938288166Z [inf]  2025-10-27 10:04:12,608 - src.strategies.ict_strategy - DEBUG - AEROUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.938295922Z [inf]  2025-10-27 10:04:12,609 - src.strategies.ict_strategy - DEBUG - STRKUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.938305239Z [inf]  2025-10-27 10:04:12,634 - src.strategies.ict_strategy - DEBUG - CELOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.966152288Z [inf]  2025-10-27 10:04:12,639 - src.strategies.ict_strategy - DEBUG - DYDXUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
