2025-11-24T05:13:32.961006275Z [err]  2025-11-24 05:12:42,011 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.961031876Z [err]  2025-11-24 05:12:31,987 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.963057086Z [err]  2025-11-24 05:12:51,846 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.968035335Z [err]  2025-11-24 05:12:31,988 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.968043862Z [err]  2025-11-24 05:12:31,988 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.972208879Z [err]  2025-11-24 05:12:31,989 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.972224897Z [err]  2025-11-24 05:12:31,989 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.973934318Z [err]  2025-11-24 05:12:31,990 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.976979323Z [err]  2025-11-24 05:12:31,990 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.977085853Z [err]  2025-11-24 05:12:51,848 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.979919684Z [err]  2025-11-24 05:12:31,991 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.981063975Z [err]  2025-11-24 05:12:31,991 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.984346855Z [err]  2025-11-24 05:12:31,992 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.987730880Z [err]  2025-11-24 05:12:31,992 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.987738717Z [err]  2025-11-24 05:12:31,992 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.990026801Z [err]  2025-11-24 05:12:31,993 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.996329465Z [err]  2025-11-24 05:12:31,993 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.996337303Z [err]  2025-11-24 05:12:31,993 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.996345144Z [err]  2025-11-24 05:12:31,993 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464444303Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464455248Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464462961Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464469929Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464478858Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
