2025-11-06T00:35:16.948639552Z [inf]  2025-11-06 00:35:16,942 - src.strategies.self_learning_trader - INFO - 🎓 TAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.004580324Z [inf]  2025-11-06 00:35:16,993 - src.strategies.self_learning_trader - INFO - 🎓 SLPUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.033729311Z [inf]  2025-11-06 00:35:17,021 - src.strategies.self_learning_trader - INFO - 🎓 ZORAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.048110494Z [inf]  2025-11-06 00:35:17,044 - src.strategies.self_learning_trader - INFO - 🎓 TAGUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.078371983Z [inf]  2025-11-06 00:35:17,067 - src.strategies.self_learning_trader - INFO - 🎓 ZRCUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.095749534Z [inf]  2025-11-06 00:35:17,092 - src.strategies.self_learning_trader - INFO - 🎓 ESPORTSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.128520439Z [inf]  2025-11-06 00:35:17,115 - src.strategies.self_learning_trader - INFO - 🎓 TREEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.128528281Z [inf]  2025-11-06 00:35:17,115 - src.core.unified_scheduler - INFO - ⏱️  進度: 448/532 | 已分析=448 | 平均分析=26.2ms | 平均數據=0.3ms
2025-11-06T00:35:17.774890584Z [inf]  2025-11-06 00:35:17,771 - src.core.elite.unified_data_pipeline - INFO - ✅ 批量数据获取完成: 64个symbols | 成功64 | 失败0 | 耗时0.66秒 | 平均10.2ms/symbol
2025-11-06T00:35:17.774897757Z [inf]  2025-11-06 00:35:17,771 - src.core.unified_scheduler - INFO - ⏱️  批次 8: 64个symbols数据获取完成，耗时0.66秒
2025-11-06T00:35:17.791942504Z [inf]  2025-11-06 00:35:17,790 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline進度快照（已掃描450個）
2025-11-06T00:35:17.791950549Z [inf]  2025-11-06 00:35:17,790 - src.strategies.rule_based_signal_generator - INFO -    Stage1驗證: 有效=449, 拒絕=0
2025-11-06T00:35:17.791958157Z [inf]  2025-11-06 00:35:17,790 - src.strategies.rule_based_signal_generator - INFO -    Stage3方向: 有=292, 無=157
2025-11-06T00:35:17.823100319Z [inf]  2025-11-06 00:35:17,813 - src.strategies.self_learning_trader - INFO - ❌ PLAYUSDT 拒絕開倉: 信心度不足: 22.3% < 25.0% | 勝率=51.7% 信心=22.3% R:R=1.50
2025-11-06T00:35:17.842603434Z [inf]  2025-11-06 00:35:17,836 - src.strategies.self_learning_trader - INFO - ❌ NAORISUSDT 拒絕開倉: 信心度不足: 13.9% < 25.0% | 勝率=45.0% 信心=13.9% R:R=1.50
2025-11-06T00:35:17.866592181Z [inf]  2025-11-06 00:35:17,860 - src.strategies.self_learning_trader - INFO - 🎓 TOWNSUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.915950515Z [inf]  2025-11-06 00:35:17,901 - src.strategies.self_learning_trader - INFO - 🎓 ALLUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.980838810Z [inf]  2025-11-06 00:35:17,968 - src.strategies.self_learning_trader - INFO - 🎓 CARVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:17.999125957Z [inf]  2025-11-06 00:35:17,996 - src.strategies.self_learning_trader - INFO - 🎓 AIOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.055366837Z [inf]  2025-11-06 00:35:18,053 - src.strategies.self_learning_trader - INFO - 🎓 DAMUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.085876432Z [inf]  2025-11-06 00:35:18,081 - src.strategies.self_learning_trader - INFO - 🎓 CUDISUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.108086798Z [inf]  2025-11-06 00:35:18,105 - src.strategies.self_learning_trader - INFO - 🎓 SAPIENUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.156814721Z [inf]  2025-11-06 00:35:18,150 - src.strategies.self_learning_trader - INFO - 🎓 WLFIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.194823171Z [inf]  2025-11-06 00:35:18,181 - src.strategies.self_learning_trader - INFO - ❌ SOMIUSDT 拒絕開倉: 信心度不足: 24.1% < 25.0% | 勝率=52.2% 信心=24.1% R:R=1.50
2025-11-06T00:35:18.204139561Z [inf]  2025-11-06 00:35:18,203 - src.strategies.self_learning_trader - INFO - 🎓 BASUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.230097163Z [inf]  2025-11-06 00:35:18,226 - src.strategies.self_learning_trader - INFO - 🎓 BTRUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.257667686Z [inf]  2025-11-06 00:35:18,256 - src.strategies.self_learning_trader - INFO - 🎓 MITOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.288570258Z [inf]  2025-11-06 00:35:18,285 - src.strategies.self_learning_trader - INFO - ❌ HEMIUSDT 拒絕開倉: 信心度不足: 15.3% < 25.0% | 勝率=49.6% 信心=15.3% R:R=1.50
2025-11-06T00:35:18.628250321Z [inf]  2025-11-06 00:35:18,495 - src.strategies.self_learning_trader - INFO - 🎓 SKYUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628260252Z [inf]  2025-11-06 00:35:18,540 - src.strategies.self_learning_trader - INFO - 🎓 HOLOUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628270428Z [inf]  2025-11-06 00:35:18,565 - src.strategies.self_learning_trader - INFO - ❌ XPINUSDT 拒絕開倉: 信心度不足: 18.9% < 25.0% | 勝率=45.0% 信心=18.9% R:R=1.50
2025-11-06T00:35:18.628331442Z [inf]  2025-11-06 00:35:18,315 - src.strategies.self_learning_trader - INFO - 🎓 LINEAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628340680Z [inf]  2025-11-06 00:35:18,340 - src.strategies.self_learning_trader - INFO - 🎓 QUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628347668Z [inf]  2025-11-06 00:35:18,362 - src.strategies.self_learning_trader - INFO - 🎓 ARIAUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628354690Z [inf]  2025-11-06 00:35:18,389 - src.strategies.self_learning_trader - INFO - 🎓 TAKEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628361686Z [inf]  2025-11-06 00:35:18,416 - src.strategies.self_learning_trader - INFO - 🎓 PTBUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628367442Z [inf]  2025-11-06 00:35:18,441 - src.strategies.self_learning_trader - INFO - 🎓 OPENUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T00:35:18.628373129Z [inf]  2025-11-06 00:35:18,470 - src.strategies.self_learning_trader - INFO - 🎓 FLOCKUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
